Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2022-01-01,Andaman and Nicobar Islands,7728,14,7585,129
2022-01-01,Andhra Pradesh,2077145,1154,2061496,14495
2022-01-01,Arunachal Pradesh,55343,21,55040,282
2022-01-01,Assam,620765,2218,612383,6164
2022-01-01,Bihar,726896,489,714311,12096
2022-01-01,Chandigarh,65895,170,64646,1079
2022-01-01,Chhattisgarh,1008187,769,993818,13600
2022-01-01,Dadra and Nagar Haveli and Daman and Diu,10692,1,10687,4
2022-01-01,Delhi,1448211,4410,1418694,25107
2022-01-01,Goa,180872,1046,176304,3522
2022-01-01,Gujarat,831732,2962,818652,10118
2022-01-01,Haryana,773788,1440,762284,10064
2022-01-01,Himachal Pradesh,228857,466,224515,3876
2022-01-01,Jammu and Kashmir,341290,1337,335425,4528
2022-01-01,Jharkhand,351739,2002,344593,5144
2022-01-01,Karnataka,3007337,8741,2960261,38335
2022-01-01,Kerala,5247177,20106,5179277,47794
2022-01-01,Ladakh,22184,184,21781,219
2022-01-01,Lakshadweep,10416,3,10362,51
2022-01-01,Madhya Pradesh,793965,407,783025,10533
2022-01-01,Maharashtra,6678821,28199,6509096,141526
2022-01-01,Manipur,125788,199,123587,2002
2022-01-01,Meghalaya,84827,67,83276,1484
2022-01-01,Mizoram,141665,1735,139386,544
2022-01-01,Nagaland,32201,63,31436,702
2022-01-01,Odisha,1054834,1571,1044803,8460
2022-01-01,Puducherry,129478,127,127470,1881
2022-01-01,Punjab,604810,767,587398,16645
2022-01-01,Rajasthan,956227,963,946300,8964
2022-01-01,Sikkim,32503,52,32042,409
2022-01-01,Tamil Nadu,2748045,7470,2703799,36776
2022-01-01,Telangana,681898,3650,674221,4027
2022-01-01,Tripura,85086,104,84153,829
2022-01-01,Uttar Pradesh,1711605,862,1687828,22915
2022-01-01,Uttarakhand,345087,302,337367,7418
2022-01-01,West Bengal,1638485,10710,1608011,19764
2022-02-01,Andaman and Nicobar Islands,9794,365,9300,129
2022-02-01,Andhra Pradesh,2276370,110517,2151238,14615
2022-02-01,Arunachal Pradesh,62410,2835,59288,287
2022-02-01,Assam,716406,21974,687971,6461
2022-02-01,Bihar,823801,5082,806497,12222
2022-02-01,Chandigarh,89488,3228,85138,1122
2022-02-01,Chhattisgarh,1125863,23537,1088473,13853
2022-02-01,Dadra and Nagar Haveli and Daman and Diu,11307,94,11209,4
2022-02-01,Delhi,1830268,18729,1785674,25865
2022-02-01,Goa,238906,8760,226453,3693
2022-02-01,Gujarat,1160659,83793,1066393,10473
2022-02-01,Haryana,949532,25590,913637,10305
2022-02-01,Himachal Pradesh,271549,9281,258268,4000
2022-02-01,Jammu and Kashmir,435425,36372,394379,4674
2022-02-01,Jharkhand,428550,5258,417991,5301
2022-02-01,Karnataka,3809467,244361,3526108,38998
2022-02-01,Kerala,6025669,358281,5612993,54395
2022-02-01,Ladakh,26021,1087,24710,224
2022-02-01,Lakshadweep,11084,254,10778,52
2022-02-01,Madhya Pradesh,967501,60609,896274,10618
2022-02-01,Maharashtra,7721109,211239,7367259,142611
2022-02-01,Manipur,133256,3984,127226,2046
2022-02-01,Meghalaya,91094,2313,87255,1526
2022-02-01,Mizoram,175022,15089,159324,609
2022-02-01,Nagaland,34404,847,32821,736
2022-02-01,Odisha,1249240,39082,1201546,8612
2022-02-01,Puducherry,161251,9700,149620,1931
2022-02-01,Punjab,743532,23626,702653,17253
2022-02-01,Rajasthan,1206421,67017,1130136,9268
2022-02-01,Sikkim,38152,931,36792,429
2022-02-01,Tamil Nadu,3345220,198130,3109526,37564
2022-02-01,Telangana,763911,37168,722654,4089
2022-02-01,Tripura,100364,3525,95934,905
2022-02-01,Uttar Pradesh,2019549,54836,1941506,23207
2022-02-01,Uttarakhand,421388,29856,383986,7546
2022-02-01,West Bengal,1995516,25709,1949188,20619
2022-03-01,Andaman and Nicobar Islands,10017,9,9879,129
2022-03-01,Andhra Pradesh,2317812,2325,2300760,14727
2022-03-01,Arunachal Pradesh,64427,134,63997,296
2022-03-01,Assam,724123,1523,715962,6638
2022-03-01,Bihar,830091,322,817514,12255
2022-03-01,Chandigarh,91740,155,90420,1165
2022-03-01,Chhattisgarh,1150894,1397,1135469,14028
2022-03-01,Dadra and Nagar Haveli and Daman and Diu,11439,2,11433,4
2022-03-01,Delhi,1859892,1845,1831925,26122
2022-03-01,Goa,245019,271,240927,3821
2022-03-01,Gujarat,1222628,1820,1209878,10930
2022-03-01,Haryana,981684,1963,969158,10563
2022-03-01,Himachal Pradesh,283313,1014,278178,4121
2022-03-01,Jammu and Kashmir,452997,682,447567,4748
2022-03-01,Jharkhand,434381,418,428648,5315
2022-03-01,Karnataka,3941063,5661,3895452,39950
2022-03-01,Kerala,6499214,27234,6406519,65461
2022-03-01,Ladakh,28016,150,27638,228
2022-03-01,Lakshadweep,11400,5,11343,52
2022-03-01,Madhya Pradesh,1038907,3449,1024731,10727
2022-03-01,Maharashtra,7865705,10661,7711343,143701
2022-03-01,Manipur,136783,322,134349,2112
2022-03-01,Meghalaya,93477,178,91721,1578
2022-03-01,Mizoram,214653,6880,207116,657
2022-03-01,Nagaland,35407,109,34543,755
2022-03-01,Odisha,1285038,2233,1273734,9071
2022-03-01,Puducherry,165720,118,163640,1962
2022-03-01,Punjab,758091,684,739701,17706
2022-03-01,Rajasthan,1279816,4135,1266144,9537
2022-03-01,Sikkim,39068,52,38573,443
2022-03-01,Tamil Nadu,3449373,5745,3405624,38004
2022-03-01,Telangana,788931,2968,781852,4111
2022-03-01,Tripura,100862,24,99919,919
2022-03-01,Uttar Pradesh,2067822,3698,2040668,23456
2022-03-01,Uttarakhand,436135,2330,426122,7683
2022-03-01,West Bengal,2015107,1828,1992103,21176
2022-04-01,Andaman and Nicobar Islands,10033,0,9904,129
2022-04-01,Andhra Pradesh,2319532,251,2304551,14730
2022-04-01,Arunachal Pradesh,64485,1,64188,296
2022-04-01,Assam,724196,1353,716204,6639
2022-04-01,Bihar,830469,27,818186,12256
2022-04-01,Chandigarh,91920,24,90731,1165
2022-04-01,Chhattisgarh,1152134,118,1137982,14034
2022-04-01,Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4
2022-04-01,Delhi,1864970,458,1838360,26152
2022-04-01,Goa,245300,29,241439,3832
2022-04-01,Gujarat,1223904,76,1212886,10942
2022-04-01,Haryana,985218,280,974322,10616
2022-04-01,Himachal Pradesh,284529,137,280259,4133
2022-04-01,Jammu and Kashmir,453737,151,448836,4750
2022-04-01,Jharkhand,435145,50,429780,5315
2022-04-01,Karnataka,3945514,1611,3903849,40054
2022-04-01,Kerala,6532683,4003,6460767,67913
2022-04-01,Ladakh,28223,6,27989,228
2022-04-01,Lakshadweep,11402,0,11350,52
2022-04-01,Madhya Pradesh,1041110,136,1030240,10734
2022-04-01,Maharashtra,7874024,902,7725339,147783
2022-04-01,Manipur,137094,34,134940,2120
2022-04-01,Meghalaya,93762,23,92146,1593
2022-04-01,Mizoram,224522,1040,222797,685
2022-04-01,Nagaland,35476,16,34701,759
2022-04-01,Odisha,1287640,398,1278121,9121
2022-04-01,Puducherry,165774,0,163812,1962
2022-04-01,Punjab,759107,116,741250,17741
2022-04-01,Rajasthan,1282986,222,1273212,9552
2022-04-01,Sikkim,39139,10,38677,452
